Product Name,Total_Revenue,Total_Profit,Average_discount
3M Replacement Filter for Office Air Cleaner for 20' x 33' Room,₹985.92,₹-20.48,0.25
4009 Highlighters,₹48.24,₹2.73,0.0
4009 Highlighters by Sanford,"₹1,112.01",₹53.81,0.05
50 Colored Long Pencils,₹479.55,₹32.92,0.04
"6"" Cubicle Wall Clock, Black",₹755.61,₹26.21,0.2
9-3/4 Diameter Round Wall Clock,"₹2,628.37",₹183.13,0.05
"ACCOHIDE 3-Ring Binder, Blue, 1""",₹626.11,₹50.72,0.16153846153846155
ACCOHIDE Binder by Acco,₹408.04,₹19.29,0.22499999999999998
APC 7 Outlet Network SurgeArrest Surge Protector,"₹3,525.02",₹80.48,0.225
ARKON Windshield Dashboard Air Vent Car Mount Holder,₹786.48,₹-15.59,0.1
AT&T 1070 Corded Phone,"₹4,816.37",₹133.79,0.20000000000000004
AT&T 1080 Corded phone,"₹5,835.77",₹145.21,0.2
AT&T 1080 Phone,"₹8,986.54",₹271.24,0.13333333333333333
AT&T 17929 Lendline Telephone,"₹5,410.70",₹167.39,0.14
AT&T 841000 Phone,"₹9,177.00",₹165.60,0.17142857142857146
AT&T CL2909,"₹2,116.63",₹50.40,0.26666666666666666
AT&T CL82213,"₹2,151.06",₹131.32,0.04
AT&T CL83451 4-Handset Telephone,"₹6,797.67",₹473.78,0.1
AT&T EL51110 DECT,"₹1,133.91",₹109.61,0.0
AT&T SB67148 SynJ,"₹1,478.18",₹89.75,0.13333333333333333
AT&T TR1909W,"₹6,979.85",₹340.17,0.1
Aastra 57i VoIP phone,"₹21,267.88",₹575.33,0.14285714285714285
Aastra 6757i CT Wireless VoIP phone,"₹8,962.30",₹482.59,0.16666666666666666
Acco 3-Hole Punch,₹816.43,₹55.54,0.23333333333333334
Acco 6 Outlet Guardian Basic Surge Suppressor,₹148.10,₹-3.66,0.4
Acco 6 Outlet Guardian Premium Plus Surge Suppressor,"₹1,374.00",₹-113.77,0.4000000000000001
Acco 6 Outlet Guardian Premium Surge Suppressor,"₹2,022.38",₹60.42,0.1625
Acco 6 Outlet Guardian Standard Surge Suppressor,₹517.45,₹22.97,0.2
"Acco 7-Outlet Masterpiece Power Center, Wihtout Fax/Phone Line Protection","₹27,841.82",₹401.21,0.2857142857142857
"Acco Banker's Clasps, 5 3/4""-Long",₹175.68,₹18.00,0.08
"Acco Clips to Go Binder Clips, 24 Clips in Two Sizes",₹306.01,₹30.28,0.04
Acco D-Ring Binder w/DublLock,₹897.96,₹-102.84,0.6222222222222222
"Acco Data Flex Cable Posts For Top & Bottom Load Binders, 6"" Capacity","₹1,291.23",₹64.14,0.29
Acco Economy Flexible Poly Round Ring Binder,₹17.75,₹-5.74,0.6
Acco Expandable Hanging Binders,₹98.89,₹1.02,0.35
"Acco Flexible ACCOHIDE Square Ring Data Binder, Dark Blue, 11 1/2"" X 14"" 7/8""","₹1,981.69",₹111.29,0.29
"Acco Four Pocket Poly Ring Binder with Label Holder, Smoke, 1""",₹587.06,₹7.45,0.4000000000000001
Acco Glide Clips,₹98.00,₹9.60,0.0
Acco Hanging Data Binders,₹134.11,₹8.23,0.32857142857142857
Acco Hot Clips Clips to Go,₹404.01,₹25.50,0.13333333333333333
"Acco PRESSTEX Data Binder with Storage Hooks, Dark Blue, 14 7/8"" X 11""","₹1,264.30",₹73.87,0.1142857142857143
"Acco PRESSTEX Data Binder with Storage Hooks, Dark Blue, 9 1/2"" X 11""",₹453.53,₹-0.16,0.55
"Acco PRESSTEX Data Binder with Storage Hooks, Light Blue, 9 1/2"" X 11""",₹277.07,₹19.69,0.26
Acco Perma 2700 Stacking Storage Drawers,₹458.00,₹5.95,0.1
Acco Perma 3000 Stacking Storage Drawers,"₹1,581.89",₹16.57,0.13333333333333333
Acco Perma 4000 Stacking Storage Drawers,"₹1,581.78",₹30.04,0.09090909090909091
"Acco Pressboard Covers with Storage Hooks, 14 7/8"" x 11"", Dark Blue",₹339.47,₹13.18,0.3
"Acco Pressboard Covers with Storage Hooks, 14 7/8"" x 11"", Executive Red",₹318.90,₹-13.91,0.5625
"Acco Pressboard Covers with Storage Hooks, 14 7/8"" x 11"", Light Blue",₹775.29,₹18.41,0.4636363636363636
"Acco Pressboard Covers with Storage Hooks, 9 1/2"" x 11"", Executive Red",₹336.80,₹34.90,0.15555555555555556
"Acco Recycled 2"" Capacity Laser Printer Hanging Data Binders",₹273.11,₹8.67,0.475
Acco Side-Punched Conventional Columnar Pads,₹191.54,₹-7.81,0.2
"Acco Six-Outlet Power Strip, 4' Cord Length","₹1,998.12",₹81.55,0.022222222222222223
Acco Smartsocket Color-Coded Six-Outlet AC Adapter Model Surge Protectors,"₹2,086.07",₹-7.04,0.30000000000000004
"Acco Smartsocket Table Surge Protector, 6 Color-Coded Adapter Outlets","₹1,259.62",₹105.48,0.10000000000000002
Acco Suede Grain Vinyl Round Ring Binder,₹194.32,₹-4.89,0.5375
Acco Translucent Poly Ring Binders,₹398.74,₹16.29,0.3125
Accohide Poly Flexible Ring Binders,₹228.51,₹-19.82,0.5375
"Acme 10"" Easy Grip Assistive Scissors","₹1,844.16",₹129.72,0.025
Acme Box Cutter Scissors,"₹1,984.62",₹72.22,0.03333333333333333
"Acme Design Line 8"" Stainless Steel Bent Scissors w/Champagne Handles, 3-1/8"" Cut",₹138.17,₹10.19,0.06666666666666667
Acme Design Stainless Steel Bent Scissors,₹444.60,₹24.01,0.0
Acme Elite Stainless Steel Scissors,₹275.22,₹21.02,0.08
Acme Forged Steel Scissors with Black Enamel Handles,"₹1,325.74",₹67.78,0.05
Acme Galleria Hot Forged Steel Scissors with Colored Handles,"₹1,025.60",₹49.86,0.06666666666666667
"Acme Hot Forged Carbon Steel Scissors with Nickel-Plated Handles, 3 7/8"" Cut, 8""L","₹2,632.66",₹103.42,0.08571428571428573
Acme Kleen Earth Office Shears,₹128.04,₹11.17,0.08
Acme Kleencut Forged Steel Scissors,₹88.40,₹7.46,0.13333333333333333
Acme Office Executive Series Stainless Steel Trimmers,₹622.18,₹26.22,0.08571428571428573
Acme Preferred Stainless Steel Scissors,₹397.60,₹26.36,0.0
Acme Rosewood Handle Letter Opener,₹178.65,₹-3.49,0.06666666666666667
Acme Serrated Blade Letter Opener,₹35.62,₹-1.75,0.1
Acme Softgrip Scissors,₹960.52,₹33.13,0.1
Acme Stainless Steel Office Snips,₹380.95,₹12.43,0.1
Acme Tagit Stainless Steel Antibacterial Scissors,₹750.42,₹37.03,0.10000000000000002
Acme Titanium Bonded Scissors,₹302.60,₹20.23,0.08
Acme Value Line Scissors,₹183.23,₹20.44,0.06000000000000001
Acrylic Self-Standing Desk Frames,₹526.52,₹32.73,0.07500000000000001
"Adams ""While You Were Out"" Message Pads",₹379.31,₹31.40,0.04
"Adams Phone Message Book, 200 Message Capacity, 8 1/16ï¿½ x 11ï¿½","₹1,121.44",₹104.44,0.0
"Adams Phone Message Book, Professional, 400 Message Capacity, 5 3/6ï¿½ x 11ï¿½",₹650.54,₹43.14,0.06666666666666667
"Adams Telephone Message Book W/Dividers/Space For Phone Numbers, 5 1/4""X8 1/2"", 200/Messages",₹870.18,₹72.70,0.028571428571428574
"Adams Telephone Message Book W/Dividers/Space For Phone Numbers, 5 1/4""X8 1/2"", 300/Messages",₹365.74,₹60.92,0.04
"Adams Telephone Message Book w/Frequently-Called Numbers Space, 400 Messages per Book","₹1,149.12",₹111.72,0.0
"Adams Telephone Message Books, 5 1/4ï¿½ x 11ï¿½",₹382.94,₹32.92,0.16
"Adams Write n' Stick Phone Message Book, 11"" X 5 1/4"", 200 Messages",₹118.14,₹16.36,0.06666666666666667
Adjustable Depth Letter/Legal Cart,"₹37,271.88","₹1,932.55",0.06666666666666667
Adjustable Personal File Tote,"₹1,058.20",₹53.40,0.08
Adtran 1202752G1,"₹9,298.06",₹312.46,0.16
"Advantus 10-Drawer Portable Organizer, Chrome Metal Frame, Smoke Drawers","₹7,003.87",₹277.29,0.05
"Advantus Employee of the Month Certificate Frame, 11 x 13-1/2","₹5,449.87",₹311.77,0.04
Advantus Map Pennant Flags and Round Head Tacks,₹465.31,₹20.54,0.06666666666666667
Advantus Motivational Note Cards,"₹1,228.78",₹94.32,0.12000000000000002
Advantus Panel Wall Acrylic Frame,₹457.29,₹25.16,0.2
Advantus Panel Wall Certificate Holder - 8.5x11,"₹1,529.88",₹108.09,0.06666666666666667
Advantus Plastic Paper Clips,"₹1,349.00",₹102.80,0.06000000000000001
Advantus Push Pins,₹250.26,₹20.21,0.05714285714285715
"Advantus Push Pins, Aluminum Head",₹929.60,₹43.23,0.0
Advantus Rolling Drawer Organizers,"₹8,242.42",₹233.19,0.10000000000000002
Advantus Rolling Storage Box,"₹1,375.43",₹90.72,0.08
Advantus SlideClip Paper Clips,₹249.61,₹19.78,0.06666666666666667
Advantus T-Pin Paper Clips,₹235.42,₹20.02,0.12000000000000002
Airmail Envelopes,"₹4,716.87",₹514.49,0.13333333333333333
Akro Stacking Bins,₹217.76,₹-6.94,0.10000000000000002
Akro-Mils 12-Gallon Tote,₹399.19,₹21.55,0.1
"Alliance Big Bands Rubber Bands, 12/Pack",₹140.58,₹0.00,0.0
Alliance Rubber Bands,₹57.12,₹0.54,0.0
"Alliance Super-Size Bands, Assorted Sizes","₹1,713.16",₹-10.35,0.05
Alphabetical Labels for Top Tab Filing,"₹2,755.76",₹244.20,0.06666666666666668
Aluminum Document Frame,"₹1,324.65",₹56.21,0.08
Aluminum Screw Posts,"₹1,480.22",₹41.20,0.43636363636363634
AmazonBasics 3-Button USB Wired Mouse,₹258.63,₹32.29,0.08
American Pencil,₹184.07,₹14.19,0.0
Ames Color-File Green Diamond Border X-ray Mailers,"₹8,213.24",₹559.31,0.05
Ampad #10 Peel & Seel Holiday Envelopes,₹250.88,₹25.80,0.0
"Ampad Evidence Wirebond Steno Books, 6"" x 9""",₹113.80,₹11.29,0.1
"Ampad Gold Fibre Wirebound Steno Books, 6"" x 9"", Gregg Ruled",₹454.23,₹47.19,0.05
"Ampad Phone Message Book, Recycled, 400 Message Capacity, 5 ï¿½ï¿½ x 11ï¿½",₹599.04,₹56.16,0.0
"Ampad Poly Cover Wirebound Steno Book, 6"" x 9"" Assorted Colors, Gregg Ruled",₹96.25,₹15.66,0.05
Anderson Hickey Conga Table Tops & Accessories,₹130.98,₹-17.51,0.30000000000000004
"Angle-D Binders with Locking Rings, Label Holders","₹1,078.21",₹35.33,0.32999999999999996
Angle-D Ring Binders,₹108.31,₹-1.97,0.5333333333333333
Anker 24W Portable Micro USB Car Charger,₹246.18,₹14.07,0.30000000000000004
Anker 36W 4-Port USB Wall Charger Travel Power Adapter for iPhone 5s 5c 5,"₹1,355.32",₹23.19,0.23333333333333336
Anker Astro 15000mAh USB Portable Charger,"₹1,779.64",₹-24.00,0.08
Anker Astro Mini 3000mAh Ultra-Compact Portable Charger,₹355.82,₹-31.98,0.2
Anker Ultra-Slim Mini Bluetooth 3.0 Wireless Keyboard,"₹4,625.69",₹99.55,0.08
Anker Ultrathin Bluetooth Wireless Keyboard Aluminum Cover with Stand ,"₹2,915.03",₹32.99,0.05
Apple EarPods with Remote and Mic,₹654.97,₹50.38,0.1
Apple iPhone 5,"₹74,860.42","₹1,611.58",0.20000000000000004
Apple iPhone 5C,"₹6,659.33",₹229.98,0.15000000000000002
Apple iPhone 5S,"₹20,177.65",₹512.99,0.2
Array Memo Cubes,₹249.68,₹25.85,0.06666666666666667
"Array Parchment Paper, Assorted Colors",₹496.50,₹49.50,0.05
Artistic Insta-Plaque,₹533.12,₹61.15,0.0
Assorted Color Push Pins,₹108.96,₹8.92,0.1
Astroparche Fine Business Paper,₹881.76,₹65.05,0.06666666666666667
"Ativa D5772 2-Line 5.8GHz Digital Expandable Corded/Cordless Phone System with Answering & Caller ID/Call Waiting, Black/Silver","₹7,259.56",₹593.96,0.0
Ativa MDM8000 8-Sheet Micro-Cut Shredder,"₹5,561.38",₹393.26,0.1
Ativa V4110MDD Micro-Cut Shredder,"₹45,499.35","₹3,772.95",0.0
"Atlantic Metals Mobile 2-Shelf Bookcases, Custom Colors",₹727.76,₹-113.26,0.51
"Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors","₹36,920.84",₹780.33,0.18375
"Atlantic Metals Mobile 4-Shelf Bookcases, Custom Colors","₹26,566.66",₹-126.44,0.26666666666666666
"Atlantic Metals Mobile 5-Shelf Bookcases, Custom Colors","₹23,696.16",₹15.05,0.31625
Avanti 1.7 Cu. Ft. Refrigerator,"₹15,389.35",₹476.63,0.1
Avanti 4.4 Cu. Ft. Refrigerator,"₹12,342.84",₹383.68,0.14285714285714285
Avaya 4621SW VoIP phone,"₹2,129.76",₹79.87,0.2
Avaya 5410 Digital phone,"₹2,311.66",₹-10.88,0.30000000000000004
Avaya 5420 Digital phone,"₹8,126.40",₹323.98,0.06666666666666667
Avaya IP Phone 1140E VoIP phone,"₹6,974.75",₹362.69,0.0
"Avery 05222 Permanent Self-Adhesive File Folder Labels for Typewriters, on Rolls, White, 250/Roll",₹53.69,₹9.50,0.0
"Avery 3 1/2"" Diskette Storage Pages, 10/Pack",₹772.56,₹-14.41,0.3833333333333333
"Avery 4027 File Folder Labels for Dot Matrix Printers, 5000 Labels per Box, White","₹8,902.55",₹524.51,0.09090909090909091
Avery 473,"₹1,262.70",₹119.23,0.0
Avery 474,₹344.45,₹34.27,0.1111111111111111
Avery 475,"₹1,598.40",₹133.20,0.0
Avery 476,₹578.20,₹54.60,0.08
Avery 477,"₹3,871.20",₹244.24,0.05
Avery 478,₹500.82,₹43.31,0.0
Avery 479,₹44.89,₹6.84,0.06666666666666667
Avery 48,₹612.36,₹39.69,0.06666666666666667
Avery 480,₹479.25,₹42.45,0.03333333333333333
Avery 481,₹656.66,₹43.12,0.04
Avery 482,₹28.90,₹5.43,0.0
Avery 483,₹272.90,₹32.57,0.10000000000000002
Avery 484,₹36.86,₹3.34,0.2
Avery 485,"₹4,949.35",₹300.34,0.0
Avery 486,₹711.99,₹75.15,0.044444444444444446
Avery 487,₹447.97,₹35.98,0.05714285714285715
Avery 488,₹231.21,₹23.18,0.06666666666666667
Avery 489,₹540.27,₹73.28,0.04
Avery 49,₹324.86,₹31.56,0.03333333333333333
Avery 490,₹526.88,₹81.40,0.08
Avery 491,₹258.54,₹18.67,0.13333333333333333
Avery 492,₹254.02,₹22.46,0.08
Avery 493,₹189.53,₹23.42,0.1
Avery 494,₹295.45,₹23.96,0.10000000000000002
Avery 495,₹530.46,₹42.59,0.05
Avery 496,₹243.75,₹22.95,0.1
Avery 497,₹153.38,₹11.21,0.1
Avery 498,₹190.16,₹15.35,0.06666666666666667
Avery 499,₹831.66,₹68.72,0.10909090909090911
Avery 5,₹11.52,₹2.82,0.0
Avery 50,"₹1,187.84",₹102.75,0.04
Avery 500,₹292.40,₹27.49,0.0
Avery 501,₹233.21,₹23.39,0.17500000000000002
Avery 502,₹42.84,₹6.17,0.20000000000000004
Avery 503,₹610.65,₹74.52,0.0
Avery 505,"₹1,616.16",₹165.76,0.1142857142857143
Avery 506,₹388.22,₹28.17,0.06666666666666667
Avery 507,₹158.98,₹8.64,0.1
Avery 508,₹330.93,₹39.82,0.06666666666666667
Avery 509,₹138.85,₹14.04,0.05
Avery 51,₹307.44,₹41.33,0.04
Avery 510,₹63.75,₹8.10,0.13333333333333333
Avery 511,₹324.02,₹24.64,0.10000000000000002
Avery 512,₹583.78,₹35.37,0.08
Avery 513,₹707.16,₹34.46,0.08
Avery 514,₹225.22,₹22.84,0.05
Avery 515,₹162.89,₹29.45,0.0
Avery 516,₹592.11,₹51.54,0.0
Avery 517,₹184.50,₹18.86,0.05
Avery 518,₹652.05,₹49.14,0.05
Avery 519,₹410.82,₹51.61,0.06666666666666667
Avery 52,₹244.28,₹31.48,0.03333333333333333
Avery 520,₹223.02,₹22.05,0.04
"Avery Address/Shipping Labels for Typewriters, 4"" x 2""","₹1,511.10",₹126.68,0.05714285714285715
Avery Arch Ring Binders,"₹5,850.67",₹87.15,0.39
Avery Binder Labels,₹68.08,₹9.88,0.22499999999999998
Avery Binding System Hidden Tab Executive Style Index Sets,₹349.08,₹16.73,0.3625
Avery Durable Binders,₹436.32,₹13.82,0.3333333333333333
"Avery Durable Plastic 1"" Binders",₹856.24,₹37.50,0.32857142857142857
Avery Durable Poly Binders,₹544.15,₹-15.59,0.5333333333333333
Avery Durable Slant Ring Binders,₹252.65,₹-23.76,0.6199999999999999
Avery Durable Slant Ring Binders With Label Holder,₹581.44,₹12.46,0.4888888888888888
"Avery Durable Slant Ring Binders, No Labels",₹397.60,₹13.61,0.36666666666666664
Avery File Folder Labels,₹462.53,₹48.84,0.1076923076923077
"Avery Flip-Chart Easel Binder, Black","₹1,188.38",₹37.82,0.425
Avery Fluorescent Highlighter Four-Color Set,₹253.84,₹9.35,0.17500000000000002
"Avery Framed View Binder, EZD Ring (Locking), Navy, 1 1/2""",₹371.26,₹-0.70,0.45
Avery Hanging File Binders,₹572.29,₹21.89,0.25
Avery Heavy-Duty EZD  Binder With Locking Rings,₹554.65,₹29.24,0.21666666666666665
Avery Heavy-Duty EZD View Binder with Locking Rings,"₹1,005.49",₹29.73,0.35
"Avery Hi-Liter Comfort Grip Fluorescent Highlighter, Yellow Ink",₹15.60,₹3.04,0.0
"Avery Hi-Liter EverBold Pen Style Fluorescent Highlighters, 4/Pack","₹1,544.97",₹68.38,0.10000000000000002
Avery Hi-Liter Fluorescent Desk Style Markers,₹87.88,₹7.50,0.0
"Avery Hi-Liter GlideStik Fluorescent Highlighter, Yellow Ink",₹117.36,₹9.65,0.1
Avery Hi-Liter Pen Style Six-Color Fluorescent Set,₹15.40,₹3.16,0.0
Avery Hi-Liter Smear-Safe Highlighters,₹614.37,₹34.11,0.10000000000000002
Avery Hidden Tab Dividers for Binding Systems,₹140.06,₹-7.03,0.6142857142857142
Avery Hole Reinforcements,₹436.72,₹14.83,0.41111111111111115
Avery Legal 4-Ring Binder,"₹1,298.66",₹90.21,0.325
Avery Metallic Poly Binders,₹847.47,₹43.43,0.3
Avery Non-Stick Binders,"₹1,065.93",₹43.55,0.33999999999999997
Avery Non-Stick Heavy Duty View Round Locking Ring Binders,₹312.16,₹30.86,0.06666666666666667
Avery Personal Creations Heavyweight Cards,₹547.00,₹37.85,0.13333333333333333
Avery Poly Binder Pockets,₹490.46,₹14.75,0.25
Avery Premier Heavy-Duty Binder with Round Locking Rings,₹956.76,₹29.42,0.3428571428571429
Avery Printable Repositionable Plastic Tabs,₹507.40,₹42.31,0.23333333333333336
Avery Recycled Flexi-View Covers for Binding Systems,₹956.99,₹-69.57,0.5285714285714286
Avery Reinforcements for Hole-Punch Pages,₹159.98,₹-16.14,0.575
Avery Round Ring Poly Binders,₹124.96,₹12.30,0.3
Avery Self-Adhesive Photo Pockets for Polaroid Photos,₹747.74,₹-2.18,0.5363636363636364
"Avery Trapezoid Extra Heavy Duty 4"" Binders","₹1,539.20",₹0.00,0.44999999999999996
"Avery Trapezoid Ring Binder, 3"" Capacity, Black, 1040 sheets","₹3,290.69",₹85.24,0.5
"Avery Triangle Shaped Sheet Lifters, Black, 2/Pack",₹140.96,₹-4.92,0.6166666666666667
Avery White Multi-Purpose Labels,₹551.78,₹41.83,0.05
Avoid Verbal Orders Carbonless Minifold Book,₹350.84,₹29.95,0.04
BIC Brite Liner Grip Highlighters,₹108.24,₹8.94,0.08
"BIC Brite Liner Grip Highlighters, Assorted, 5/Pack",₹727.58,₹43.71,0.06666666666666667
BIC Brite Liner Highlighters,₹293.11,₹30.88,0.08571428571428573
"BIC Brite Liner Highlighters, Chisel Tip",₹488.59,₹30.59,0.10000000000000002
BIC Liqua Brite Liner,₹842.52,₹53.58,0.06666666666666667
"BOSTON Model 1800 Electric Pencil Sharpeners, Putty/Woodgrain","₹3,013.45",₹113.27,0.06666666666666667
"BOSTON Ranger #55 Pencil Sharpener, Black","₹2,739.35",₹120.33,0.08888888888888889
BPI Conference Tables,"₹15,108.87",₹-795.97,0.37
Bady BDG101FRU Card Printer,"₹35,839.55","₹1,327.98",0.2
Bagged Rubber Bands,₹124.99,₹0.30,0.04
Balt Solid Wood Rectangular Table,"₹2,273.31",₹-216.25,0.2625
Balt Solid Wood Round Tables,"₹35,272.71","₹-1,201.06",0.2
Balt Split Level Computer Training Table,"₹2,899.88",₹-357.97,0.38
Barrel Sharpener,₹410.55,₹17.64,0.0
"Barricks 18"" x 48"" Non-Folding Utility Table with Bottom Storage Shelf","₹5,060.16",₹-104.83,0.32
"Barricks Non-Folding Utility Table with Steel Legs, Laminate Tops",₹272.93,₹15.35,0.2
"Belkin 19"" Center-Weighted Shelf, Gray","₹3,963.46",₹-47.18,0.1
"Belkin 19"" Vented Equipment Shelf, Black","₹4,962.67",₹-179.67,0.12000000000000002
"Belkin 325VA UPS Surge Protector, 6'","₹4,669.83",₹199.62,0.1
Belkin 5 Outlet SurgeMaster Power Centers,"₹10,296.72",₹207.02,0.14
Belkin 6 Outlet Metallic Surge Strip,"₹1,070.49",₹28.75,0.16666666666666666
Belkin 7 Outlet SurgeMaster II,"₹4,658.64",₹176.87,0.0
Belkin 7 Outlet SurgeMaster Surge Protector with Phone Protection,₹789.60,₹17.77,0.2
Belkin 7-Outlet SurgeMaster Home Series,₹262.64,₹2.79,0.24000000000000005
Belkin 8 Outlet Surge Protector,"₹5,712.61",₹188.51,0.14285714285714285
Belkin 8 Outlet SurgeMaster II Gold Surge Protector,"₹2,609.13",₹89.97,0.22000000000000003
Belkin 8 Outlet SurgeMaster II Gold Surge Protector with Phone Protection,"₹5,182.72",₹168.44,0.0
Belkin 8-Outlet Premiere SurgeMaster II Surge Protectors,₹694.80,₹83.38,0.0
Belkin F5C206VTEL 6 Outlet Surge,"₹1,741.88",₹110.30,0.05714285714285715
Belkin F8E887 USB Wired Ergonomic Keyboard,"₹1,631.46",₹66.28,0.1
Belkin F9G930V10-GRY 9 Outlet Surge,"₹3,251.58",₹162.58,0.16
Belkin F9H710-06 7 Outlet SurgeMaster Surge Protector,"₹3,101.06",₹122.84,0.07500000000000001
Belkin F9M820V08 8 Outlet Surge,"₹3,893.99",₹101.00,0.13333333333333333
Belkin F9S820V06 8 Outlet Surge,"₹1,201.76",₹-120.18,0.4
Belkin Grip Candy Sheer Case / Cover for iPhone 5 and 5S,₹212.48,₹12.99,0.06666666666666667
Belkin OmniView SE Rackmount Kit,"₹1,312.76",₹0.00,0.0
Belkin Premiere Surge Master II 8-outlet surge protector,"₹4,459.64",₹55.38,0.27142857142857146
Belkin QODE FastFit Bluetooth Keyboard,"₹2,230.20",₹16.11,0.1
"Belkin SportFit Armband For iPhone 5s/5c, Fuchsia","₹1,211.19",₹79.30,0.2
Belkin Standard 104 key USB Keyboard,"₹1,251.82",₹5.11,0.16666666666666666
Belkin iPhone and iPad Lightning Cable,₹443.70,₹6.30,0.2
Berol Giant Pencil Sharpener,"₹1,416.97",₹49.78,0.1
Bestar Classic Bookcase,"₹8,447.16",₹-612.94,0.315
Bevis 36 x 72 Conference Tables,"₹35,927.81",₹448.16,0.1625
Bevis 44 x 96 Conference Tables,"₹16,554.36",₹-164.72,0.18
Bevis Boat-Shaped Conference Table,"₹6,788.65",₹-445.59,0.31666666666666665
"Bevis Oval Conference Table, Walnut","₹43,166.09",₹-856.01,0.275
Bevis Rectangular Conference Tables,"₹3,810.08",₹-586.84,0.475
"Bevis Round Bullnose 29"" High Table Top","₹25,113.96",₹-192.19,0.26
Bevis Round Conference Room Tables and Bases,"₹1,272.96",₹-39.44,0.25
Bevis Round Conference Table Top & Single Column Base,"₹11,809.64",₹100.97,0.22000000000000003
"Bevis Round Conference Table Top, X-Base","₹11,779.35",₹-519.94,0.26666666666666666
Bevis Steel Folding Chairs,"₹7,973.44",₹117.06,0.21666666666666667
"Bevis Traditional Conference Table Top, Plinth Base","₹6,633.86",₹-456.70,0.3333333333333333
Binder Clips by OIC,₹187.07,₹15.33,0.1142857142857143
Binder Posts,₹182.53,₹7.81,0.45
Binding Machine Supplies,"₹2,651.55",₹182.60,0.18888888888888888
"Binney & Smith Crayola Metallic Colored Pencils, 8-Color Set",₹316.69,₹26.85,0.05714285714285715
"Binney & Smith Crayola Metallic Crayons, 16-Color Pack",₹56.62,₹6.74,0.1
"Binney & Smith inkTank Desk Highlighter, Chisel Tip, Yellow, 12/Box",₹299.71,₹13.46,0.08
"Binney & Smith inkTank Erasable Desk Highlighter, Chisel Tip, Yellow, 12/Box",₹48.89,₹5.75,0.13333333333333333
"Binney & Smith inkTank Erasable Pocket Highlighter, Chisel Tip, Yellow",₹137.26,₹10.67,0.06666666666666667
Bionaire 99.97% HEPA Air Cleaner,₹970.61,₹17.52,0.25
Bionaire Personal Warm Mist Humidifier/Vaporizer,"₹2,297.61",₹201.16,0.0
Black & Decker Filter for Double Action Dustbuster Cordless Vac BLDV7210,"₹1,562.22",₹53.70,0.03333333333333333
"Black Avery Memo-Size 3-Ring Binder, 5 1/2"" x 8 1/2""",₹286.99,₹15.56,0.27499999999999997
"Black Print Carbonless 8 1/2"" x 8 1/4"" Rapid Memo Book",₹180.54,₹20.82,0.2
"Black Print Carbonless Snap-Off Rapid Letter, 8 1/2"" x 7""",₹958.37,₹65.14,0.05
BlackBerry Q10,"₹17,512.61",₹548.06,0.06666666666666667
Blackstonian Pencils,₹291.56,₹12.60,0.05
Blue Parrot B250XT Professional Grade Wireless Bluetoothï¿½Headsetï¿½with,"₹7,558.99",₹127.48,0.25
